,A ID,B ID,Race Margin,Win % Margin,Skill Margin,Game Margin,AvgPPM Margin,Win Margin,Gender Matchup,State
17242,10043124,10012601,1.0,-11.306042884990255,15,-19,-1.5499999999999998,-1.0,1,18
17243,10009342,10012626,6.0,-0.6384839057321159,61,92,-0.4400000000000013,-2.0,0,18
17247,10035072,10012626,2.0,-1.9471803693971381,31,36,-0.6900000000000013,1.0,0,18
17248,10012612,10012626,0.0,-4.157887141001588,3,140,-0.9700000000000006,1.0,0,18
17249,10040771,10012626,2.0,-14.943335673453014,11,-54,-3.0200000000000005,-3.0,0,18
17250,10040771,10012626,2.0,-14.943335673453014,11,-54,-3.0200000000000005,-2.0,0,18
17251,10030041,10012626,0.0,-13.657016060862219,-7,-21,-2.290000000000001,-1.0,-1,18
17252,10009311,10012626,2.0,-6.080017371478206,34,38,-1.3200000000000003,-2.0,0,18
17256,10022864,10012626,0.0,-1.6530478068939658,14,-47,-0.28000000000000114,-2.0,0,18
17257,10030077,10012626,1.0,-5.059504022338942,13,-10,-1.450000000000001,-3.0,-1,18
17258,10012624,10012626,-1.0,-16.467862621708782,-26,14,-2.870000000000001,-1.0,0,18
17259,10009342,10009349,3.0,2.1330769367733424,30,40,0.22999999999999865,1.0,0,18
17275,10009345,10009349,-4.0,-2.3097841291867596,-49,117,-0.2900000000000009,4.0,-1,18
17291,10009345,10009349,-3.0,-2.3097841291867596,-49,117,-0.2900000000000009,-2.0,-1,18
17307,10012623,10009349,4.0,-0.6275187104202544,40,53,-0.16000000000000014,2.0,0,18
17311,10012623,10009349,3.0,-0.6275187104202544,40,53,-0.16000000000000014,2.0,0,18
17315,10024302,10009349,-2.0,2.7058146229130955,-8,-75,-0.16000000000000014,4.0,0,18
17319,10009344,10009349,4.0,-5.107805448771515,34,42,-0.5200000000000014,-3.0,0,18
17335,10009334,10009349,-2.0,-9.63986438943261,-13,-65,-1.1400000000000006,-2.0,0,18
17351,10030044,10009349,2.0,-0.7220813581743784,15,-107,-0.4800000000000004,-6.0,0,18
17355,10030044,10009349,1.0,-0.7220813581743784,15,-107,-0.4800000000000004,4.0,0,18
17359,10017025,10009349,4.0,3.2792913254220224,40,-70,0.27999999999999936,1.0,0,18
17363,10009347,10009349,-1.0,-5.210255954101704,-4,13,-0.7700000000000014,-1.0,0,18
17379,10009342,10017025,0.0,-1.14621438864868,-10,110,-0.05000000000000071,-4.0,0,18
17383,10043174,10017025,-4.0,5.478110599078363,-21,-20,0.6600000000000001,3.0,0,18
17384,10009342,10030092,8.0,2.1526291901705363,65,25,0.08000000000000007,2.0,1,18
17388,10016877,10030092,7.0,-3.3403927608779327,52,-29,-0.7400000000000002,1.0,1,18
17389,10031539,10030092,0.0,-8.00260247234872,8,-110,-1.5199999999999996,1.0,1,18
17390,10012626,10030092,1.0,2.791113095902652,4,-67,0.5200000000000014,-2.0,1,18
17391,10012599,10030092,3.0,1.232311320754718,39,16,-0.47999999999999865,-5.0,1,18
17392,10012607,10030092,3.0,-4.09372658538247,24,-6,-0.7400000000000002,2.0,1,18
17393,10040842,10030092,2.0,5.411569562512966,45,-116,0.7700000000000014,1.0,1,18
17394,10040842,10030092,3.0,5.411569562512966,45,-116,0.7700000000000014,2.0,1,18
17395,10016888,10030092,0.0,-4.37203889950959,-2,-49,-0.6899999999999995,2.0,0,18
17396,10035072,10009342,-4.0,-1.3086964636650222,-30,-56,-0.25,3.0,0,18
17400,10010330,10009342,-8.0,4.068906268515221,-66,-43,0.3800000000000008,4.0,-1,18
17404,10010330,10009342,-8.0,4.068906268515221,-66,-43,0.3800000000000008,-2.0,-1,18
17408,10010848,10009342,-5.0,-7.048933571895162,-48,-25,-0.7699999999999996,-1.0,0,18
17412,10022848,10009342,-2.0,-3.7223136677351505,-8,-83,-0.03999999999999915,4.0,0,18
17416,10046173,10009342,-8.0,-54.98281786941582,-85,-173,-8.27,-2.0,-1,18
17420,10041287,10009342,-5.0,-5.687043221528491,-42,-144,-0.7299999999999986,-3.0,0,18
17424,10012612,10009342,-6.0,-3.519403235269472,-58,48,-0.5299999999999994,1.0,0,18
17428,10019749,10009342,-2.0,3.095784750671527,4,-56,0.46000000000000085,7.0,0,18
17432,10043176,10009342,-2.0,-54.98281786941582,-35,-178,-8.94,-4.0,0,18
17436,10043090,10009342,-1.0,-2.3512389220473935,-7,-166,0.4800000000000004,-1.0,0,18
17440,10009339,10009342,-5.0,-3.8787169230435765,-37,0,-0.7599999999999998,6.0,0,18
17456,10030207,10009342,-5.0,-5.607817869415818,-54,-98,-0.7799999999999994,-1.0,0,18
17460,10016877,10009342,-1.0,-5.493021951048469,-13,-54,-0.8200000000000003,1.0,0,18
17464,10030038,10009342,-3.0,-4.982817869415818,-24,-135,-0.6500000000000004,5.0,0,18
17468,10012607,10009342,-4.0,-6.246355775553006,-41,-31,-0.8200000000000003,5.0,0,18
17472,10035072,10010848,1.0,5.74023710823014,18,-31,0.5199999999999996,-2.0,0,18
17473,10009345,10010848,-2.0,2.6060725059350602,-31,102,0.25,-1.0,-1,18
17477,10026563,10010848,0.0,7.741791378155014,4,-55,0.6500000000000004,2.0,0,18
17478,10038559,10010848,0.0,-7.193143556779916,-3,-127,-1.6899999999999995,-2.0,0,18
17480,10009312,10010848,6.0,-2.179167316388579,53,43,-0.15000000000000036,1.0,0,18
17482,10009312,10010848,6.0,-2.28682547399125,53,43,-0.16999999999999993,1.0,0,18
17484,10009339,10010848,0.0,3.1702166488515857,11,25,0.009999999999999787,2.0,0,18
17488,10030207,10010848,0.0,1.441115702479344,-6,-73,-0.009999999999999787,2.0,0,18
17489,10040843,10010848,-1.0,-27.933884297520656,-31,-144,-4.57,-2.0,-1,18
17490,10035072,10019749,-1.0,-4.404481214336549,-34,0,-0.7100000000000009,-1.0,0,18
17491,10010330,10019749,-3.0,0.973121517843694,-70,13,-0.08000000000000007,-2.0,-1,18
17492,10010330,10019749,-5.0,0.973121517843694,-70,13,-0.08000000000000007,-1.0,-1,18
17493,10022848,10019749,0.0,-6.818098418406677,-12,-27,-0.5,5.0,0,18
17494,10009341,10019749,-2.0,-4.470355197406917,-27,-29,-0.6400000000000006,3.0,0,18
17498,10012623,10019749,2.0,-5.856380397865124,6,69,-0.8499999999999996,-4.0,0,18
17499,10009344,10019749,3.0,-10.336667136216384,0,58,-1.2100000000000009,-4.0,0,18
17503,10009344,10019749,2.0,-10.336667136216384,0,58,-1.2100000000000009,2.0,0,18
17507,10038558,10019749,-2.0,-2.078602620087338,-47,-98,-0.2400000000000002,1.0,0,18
17508,10026563,10019749,-2.0,-2.402926944411675,-48,-24,-0.5800000000000001,3.0,0,18
17509,10027851,10019749,-6.0,-34.26907881056354,-97,-103,-5.130000000000001,-2.0,-1,19
17510,10039239,10019749,-2.0,-10.71018156745577,-50,-107,-2.200000000000001,1.0,0,18
17511,10043125,10019749,-2.0,-30.805875347360075,-71,-109,-4.54,-3.0,0,18
17512,10035072,10009334,0.0,10.46424486254093,13,49,1.1199999999999992,4.0,0,18
17516,10019896,10009334,4.0,14.344080291322499,50,29,1.799999999999999,1.0,0,18
17520,10024302,10009334,-1.0,12.345679012345705,5,-10,0.9800000000000004,3.0,0,18
17524,10038558,10009334,-1.0,12.790123456790141,0,-49,1.5899999999999999,4.0,0,18
17528,10038558,10009334,0.0,12.790123456790141,0,-49,1.5899999999999999,-1.0,0,18
17532,10016883,10009334,2.0,9.17107583774252,24,26,0.7999999999999989,3.0,0,18
17536,10035072,10024302,0.0,-1.8814341498047753,8,59,0.1399999999999988,-3.0,0,18
17537,10010848,10024302,0.0,-7.621671258034915,-10,90,-0.3800000000000008,-3.0,0,18
17538,10010848,10024302,0.0,-7.621671258034915,-10,90,-0.3800000000000008,-1.0,0,18
17539,10009341,10024302,0.0,-1.9473081328751434,15,30,0.20999999999999908,3.0,0,18
17543,10012612,10024302,-1.0,-4.092140921409225,-20,163,-0.14000000000000057,-1.0,0,18
17544,10020296,10024302,0.0,2.7225901398086734,4,21,0.7299999999999986,4.0,0,18
17545,10041179,10024302,0.0,-15.555555555555571,-12,-59,-2.1500000000000004,-1.0,0,18
17546,10019903,10024302,0.0,-13.450292397660846,-11,6,-1.4300000000000015,-3.0,0,18
17547,10027774,10024302,4.0,6.944444444444429,33,-59,0.6999999999999993,2.0,0,18
17548,10035072,10041287,1.0,4.3783467578634685,12,88,0.47999999999999865,3.0,0,18
17549,10010330,10041287,-3.0,9.755949490043712,-24,101,1.1099999999999994,-1.0,-1,18
17550,10009349,10041287,2.0,3.5539662847551483,12,104,0.5,1.0,0,18
17554,10010329,10041287,-2.0,3.9542253521126725,-8,199,0.5799999999999983,4.0,0,18
17555,10009344,10041287,6.0,-1.5538391640163667,46,146,-0.02000000000000135,3.0,0,18
17559,10019749,10041287,3.0,8.782827972200018,46,88,1.1899999999999995,-2.0,0,18
17560,10043091,10041287,0.0,-11.795774647887328,-11,-27,-1.330000000000001,-1.0,0,18
17561,10043175,10041287,-1.0,-30.874722016308382,-45,-12,-4.420000000000001,-3.0,0,18
17562,10043175,10041287,-1.0,-30.874722016308382,-45,-12,-4.420000000000001,-2.0,0,18
17563,10035072,10030077,1.0,3.1123236529418037,18,46,0.7599999999999998,1.0,1,18
17564,10010329,10030077,-1.0,2.6882022471910076,-2,157,0.8599999999999994,3.0,1,18
17565,10010329,10030077,-1.0,2.6882022471910076,-2,157,0.8599999999999994,2.0,1,18
17566,10012612,10030077,0.0,0.901616881337354,-10,150,0.4800000000000004,-3.0,1,18
17567,10012617,10030077,1.0,4.670760386725888,9,32,0.8900000000000006,-1.0,1,18
17568,10013842,10030077,0.0,3.800618354573544,3,7,0.7000000000000011,-2.0,1,18
17569,10012599,10030077,1.0,3.5007022471910076,22,93,0.45000000000000107,2.0,1,18
17570,10022864,10030077,0.0,3.406456215444976,1,-37,1.17,-1.0,1,18
17571,10035072,10010328,0.0,-2.4234395698589637,-4,68,-0.47000000000000064,-1.0,0,18
17572,10010330,10010328,-4.0,2.9541631623212794,-40,81,0.16000000000000014,-1.0,-1,18
17573,10012612,10010328,-2.0,-4.634146341463413,-32,172,-0.75,-3.0,0,18
17574,10009346,10010328,-1.0,-5.853658536585371,-20,94,-0.9399999999999995,-2.0,-1,18
17578,10035072,10022864,2.0,-0.2941325625031723,17,83,-0.41000000000000014,-3.0,0,18
17579,10012617,10022864,2.0,1.2643041712809122,8,69,-0.27999999999999936,-3.0,0,18
17580,10030053,10022864,2.0,3.296703296703278,19,27,0.39000000000000057,1.0,0,18
17581,10040771,10022864,0.0,-13.290287866559048,-3,-7,-2.7399999999999993,-3.0,0,18
17582,10038510,10022864,-1.0,-16.46825396825397,-42,6,-2.29,2.0,0,18
17583,10009311,10022864,2.0,-4.42696956458424,20,85,-1.0399999999999991,1.0,0,18
17587,10012613,10022864,0.0,-5.336035123269163,-24,126,-1.1799999999999997,1.0,0,18
17588,10030083,10022864,0.0,-12.301587301587297,-26,44,-1.8899999999999988,-2.0,-1,18
17589,10010330,10038558,-3.0,3.051724137931032,-23,111,0.16000000000000014,-2.0,-1,18
17590,10009335,10038558,1.0,-8.96052631578948,-2,182,-1.0600000000000005,-4.0,0,18
17594,10010329,10038558,-1.0,-2.750000000000007,-7,209,-0.370000000000001,3.0,0,18
17595,10010329,10038558,-2.0,-2.750000000000007,-7,209,-0.370000000000001,-2.0,0,18
17596,10012623,10038558,4.0,-3.7777777777777857,53,167,-0.6099999999999994,2.0,0,18
17597,10012623,10038558,5.0,-3.7777777777777857,53,167,-0.6099999999999994,2.0,0,18
17598,10009312,10038558,6.0,-10.24528301886793,48,172,-1.1400000000000006,-2.0,0,18
17600,10009312,10038558,6.0,-10.352941176470601,48,172,-1.1600000000000001,-2.0,0,18
17602,10010330,10030261,-2.0,6.612699747687138,-18,108,0.7699999999999996,-1.0,-1,18
17603,10009339,10030261,0.0,-1.3349234438716593,11,151,-0.370000000000001,2.0,0,18
17607,10030053,10030261,2.0,4.825932874713345,20,39,0.9399999999999995,-3.0,0,18
17608,10043130,10030261,1.0,6.051541647491952,20,14,0.7299999999999986,-2.0,0,18
17609,10012599,10030261,1.0,1.623475609756099,22,142,-0.16999999999999993,2.0,0,18
17610,10030077,10030261,0.0,-1.8772266374349087,0,49,-0.620000000000001,3.0,-1,18
17611,10010848,10026216,-1.0,-5.607192189731471,-11,1,-0.8399999999999999,-3.0,0,18
17612,10009349,10026216,2.0,-0.6913355546096511,7,-14,-0.29999999999999893,-3.0,0,18
17616,10009349,10026216,1.0,-0.6913355546096511,7,-14,-0.29999999999999893,1.0,0,18
17620,10009341,10026216,1.0,0.06717093542830099,14,-59,-0.25,-3.0,0,18
17624,10010329,10026216,-2.0,-0.291076487252127,-13,81,-0.22000000000000064,-1.0,0,18
17625,10045663,10026216,-1.0,-20.2077431539188,-16,-147,-3.51,-3.0,0,18
17626,10012612,10026216,-1.0,-2.0776618531057807,-21,74,-0.5999999999999996,-2.0,0,18
17627,10012612,10026216,-1.0,-2.0776618531057807,-21,74,-0.5999999999999996,-1.0,0,18
17628,10026563,10026216,-1.0,2.134599188423543,-7,-54,-0.1899999999999995,1.0,0,18
17629,10009333,10026216,-2.0,-18.329808881618327,-44,-80,-2.17,-2.0,0,18
17633,10038559,10026216,0.0,-12.800335746511387,-14,-126,-2.5299999999999994,-3.0,0,18
17634,10022863,10026216,-1.0,-8.860225423422342,-19,-106,-1.3699999999999992,3.0,0,18
17635,10010848,10030083,2.0,6.267217630853985,25,70,0.9599999999999991,3.0,1,18
17636,10020079,10030083,4.0,16.36904761904762,57,4,2.09,1.0,1,18
17637,10030059,10030083,1.0,4.999999999999986,13,-24,0.08999999999999986,-1.0,1,18
17638,10031539,10030083,1.0,3.160919540229891,16,-40,0.129999999999999,1.0,1,18
17639,10030038,10030083,4.0,8.333333333333329,49,-40,1.0799999999999983,-5.0,1,18
17640,10012626,10030083,0.0,13.954635108481263,12,3,2.17,-1.0,1,18
17641,10030270,10030083,1.0,12.999999999999986,26,-1,2.289999999999999,-3.0,0,18
17642,10012613,10030083,1.0,6.965552178318134,2,82,0.7099999999999991,1.0,1,18
17643,10010328,10030083,2.0,14.430894308943088,47,-29,1.9499999999999993,1.0,1,18
17644,10009349,10009333,2.0,17.638473327008676,51,66,1.870000000000001,1.0,0,18
17660,10019749,10009333,4.0,22.867335014453545,85,50,2.5600000000000005,1.0,0,18
17664,10009338,10009333,4.0,12.571983625893296,52,34,1.4000000000000004,2.0,0,18
17680,10038557,10009333,0.0,-10.2112676056338,16,-62,-1.0899999999999999,2.0,0,18
17684,10009349,10020296,1.0,-5.428404762721769,4,54,-0.5699999999999985,-3.0,0,18
17688,10009335,10020296,1.0,-11.238672011153717,-11,122,-1.1799999999999997,-1.0,0,18
17692,10019896,10020296,4.0,-0.7241888608318803,41,18,0.08999999999999986,-4.0,0,18
17693,10041496,10020296,0.0,-24.944812362030916,-37,-58,-3.4299999999999997,2.0,0,18
17694,10041287,10020296,0.0,-8.982371047476917,-8,-50,-1.0699999999999985,-4.0,0,18
17695,10024302,10020296,0.0,-2.7225901398086734,-4,-21,-0.7299999999999986,-1.0,0,18
